,MKT_EXBTCETH
2022-08-06,35.60252479471624
2022-08-07,36.16245549443596
2022-08-08,36.970858591169694
2022-08-09,35.770992609319194
2022-08-10,37.45722086969599
2022-08-11,37.139279695170806
2022-08-12,38.126404155529045
2022-08-13,38.02833304464448
2022-08-14,37.74918403065954
2022-08-15,37.0320420181982
2022-08-16,36.9670172309155
2022-08-17,35.579663158341134
2022-08-18,34.190733929733824
2022-08-19,31.134991623967007
2022-08-20,31.10092559225795
2022-08-21,32.14968684931493
2022-08-22,31.83736723382741
2022-08-23,32.35269342458052
2022-08-24,31.99130879310932
2022-08-25,32.375958757793875
2022-08-26,29.716461468419052
2022-08-27,29.716571896922478
2022-08-28,28.80544598591023
2022-08-29,30.333887146068662
2022-08-30,29.792488026001042
2022-08-31,29.76053900521589
2022-09-01,30.180596213712217
2022-09-02,30.066801719894347
2022-09-03,30.282039975584183
2022-09-04,30.823798811035864
2022-09-05,30.955100314294583
2022-09-06,28.998154285591482
2022-09-07,30.512705406933506
2022-09-08,30.979141785869892
2022-09-09,32.63326857031493
2022-09-10,32.945991415268814
2022-09-11,32.807501680645515
2022-09-12,33.0981359652222
2022-09-13,30.314035459585355
2022-09-14,31.021431308387115
2022-09-15,29.92665331009123
2022-09-16,30.339471857244828
2022-09-17,31.25453977216836
2022-09-18,28.881242828999504
2022-09-19,29.725002261942624
2022-09-20,29.25343975978561
2022-09-21,28.605429024296814
2022-09-22,30.801685705029698
2022-09-23,31.442917166738532
2022-09-24,30.879684921893364
2022-09-25,30.631791685893738
2022-09-26,30.839973857082658
2022-09-27,30.298174688082103
2022-09-28,30.489150218564156
2022-09-29,31.05761803529808
2022-09-30,30.846194867932912
2022-10-01,30.513411045716587
2022-10-02,29.840924985477873
2022-10-03,30.573818707567153
2022-10-04,31.486916907407103
2022-10-05,31.487244070041324
2022-10-06,31.110660585566308
2022-10-07,31.06709068072319
2022-10-08,30.72322288468974
2022-10-09,31.107402252806455
2022-10-10,29.678176800710293
2022-10-11,29.195675912610085
2022-10-12,29.174154820447274
2022-10-13,28.852430293920484
2022-10-14,28.735392262717102
2022-10-15,28.450928765123745
2022-10-16,28.806765830779636
2022-10-17,29.354686070455195
2022-10-18,28.838247412654937
2022-10-19,28.06709370269183
2022-10-20,27.657649251441363
2022-10-21,28.029013360609344
2022-10-22,28.32952975423304
2022-10-23,29.089989798461822
2022-10-24,28.451450807509637
2022-10-25,29.78458451033767
2022-10-26,30.540848394451185
2022-10-27,30.079655170638368
2022-10-28,31.187406933293254
2022-10-29,32.49916955325153
2022-10-30,32.19925749993492
2022-10-31,32.776106050270805
2022-11-01,32.85391191889301
2022-11-02,31.747301434745555
2022-11-03,32.18518939617765
2022-11-04,34.9059695922722
2022-11-05,35.09104943417722
2022-11-06,33.08479470017824
2022-11-07,32.794776836472735
2022-11-08,28.843008217722442
2022-11-09,23.2262055849067
2022-11-10,27.211945703082375
2022-11-11,26.249771179393612
2022-11-12,25.011368144067635
2022-11-13,24.150526195692816
2022-11-14,24.82781030076851
2022-11-15,25.2067388001331
2022-11-16,24.638374806082542
2022-11-17,24.443519740079285
2022-11-18,24.612086934267786
2022-11-19,24.561939185158202
2022-11-20,23.23365329955316
2022-11-21,22.763422060831893
2022-11-22,23.759538072938497
2022-11-23,25.21701053553256
2022-11-24,25.41488783393346
2022-11-25,25.436131124353455
2022-11-26,25.614024268584885
2022-11-27,25.67893513660075
2022-11-28,24.964839937987488
2022-11-29,25.436477933109135
2022-11-30,26.340346107059492
2022-12-01,25.784262170550388
2022-12-02,26.160163487823823
2022-12-03,25.62809200094156
2022-12-04,26.063128670472395
2022-12-05,25.876566037436504
2022-12-06,25.947297292808706
