,SOL,BNB,XRP,ADA,DOGE,TRX,AVAX,LINK,DOT,LTC,BCH,UNI,ATOM,XLM,ETC,NEAR,FIL,APT,ICP,HBAR,SUI,ARB,OP,INJ,SHIB,TON,PEPE,AAVE,MKR,VET,RENDER,ALGO
2022-02-13,92.85,397.9,0.8057,1.042,0.148,0.06427,77.91,15.6,18.73,125.6,333.6,10.33,26.18,0.2104,32.47,10.38,20.57,,19.75,0.2266,,,,6.07,3.013e-05,,,158.1,1924.0,0.05628,,0.8965
2022-02-14,96.37,403.4,0.8012,1.049,0.1457,0.06442,81.86,15.9,18.7,124.6,330.5,10.61,27.14,0.2107,31.4,10.554,20.71,,20.73,0.2416,,,,6.036,2.957e-05,,,161.0,1937.0,0.05618,,0.8992
2022-02-15,105.52,432.4,0.8515,1.107,0.1517,0.06685,92.97,17.34,20.16,131.5,343.2,11.47,28.97,0.221,33.47,11.51,22.35,,21.77,0.2589,,,,6.221,3.124e-05,,,172.2,2101.0,0.06107,,0.969
2022-02-16,101.86,427.3,0.8366,1.082,0.1487,0.0664,95.32,17.12,19.76,127.7,334.3,11.22,28.5,0.2187,32.24,11.223,23.06,,22.08,0.2609,,,,6.049,3.092e-05,,,170.5,2124.0,0.06029,,0.9779
2022-02-17,93.52,402.4,0.769,1.02,0.1383,0.06249,88.24,15.59,18.16,116.3,313.0,10.4,28.06,0.2022,29.43,10.445,20.53,,19.85,0.2345,,,,5.442,2.82e-05,,,153.0,1972.0,0.05456,,0.8972
2022-02-18,89.86,399.2,0.784,0.995,0.1386,0.06306,83.67,15.19,17.82,114.9,310.0,10.16,26.86,0.2006,28.95,10.275,21.02,,19.62,0.2287,,,,5.29,2.81e-05,,,145.5,1900.0,0.05317,,0.8941
2022-02-19,91.27,399.8,0.8215,0.996,0.1409,0.06348,85.01,15.51,17.84,115.5,311.9,10.03,26.68,0.2041,28.69,10.044,20.81,,20.0,0.2323,,,,6.697,2.749e-05,,,146.2,1911.0,0.05256,,0.8994
2022-02-20,90.72,380.6,0.7769,0.931,0.1366,0.06199,77.37,14.6,16.91,110.6,302.6,9.35,26.08,0.1945,27.23,9.293,19.79,,18.7,0.215,,,,5.64,2.547e-05,,,137.6,1776.0,0.0492,,0.8451
2022-02-21,82.96,356.6,0.7018,0.856,0.1282,0.05954,70.04,13.51,16.18,102.8,283.2,8.53,23.82,0.178,24.98,8.545,18.63,,17.77,0.2008,,,,4.887,2.405e-05,,,128.6,1665.0,0.04522,,0.7847
2022-02-22,86.38,374.3,0.7209,0.888,0.1313,0.06265,74.42,13.99,16.6,107.4,293.2,8.86,24.81,0.1857,26.66,8.965,19.17,,17.92,0.2354,,,,5.519,2.495e-05,,,134.7,1814.0,0.04728,,0.8107
2022-02-23,84.59,365.6,0.6967,0.866,0.1273,0.06081,73.47,13.35,15.97,105.4,288.3,8.74,25.18,0.1818,26.54,8.556,18.45,,17.31,0.2181,,,,5.395,2.486e-05,,,130.6,1739.0,0.04549,,0.785
2022-02-24,89.36,361.2,0.6963,0.853,0.1241,0.0611,76.39,13.27,16.16,104.1,300.6,8.82,24.85,0.1824,26.52,8.488,18.43,,16.6,0.216,,,,5.228,2.384e-05,,,125.4,1893.0,0.0446,,0.7772
2022-02-25,92.71,375.0,0.7699,0.898,0.1276,0.05943,80.98,14.36,17.25,109.2,308.5,9.25,27.27,0.1909,27.99,8.935,18.93,,17.67,0.2248,,,,5.589,2.488e-05,,,139.5,1990.0,0.04753,,0.8301
2022-02-26,90.23,373.7,0.7508,0.887,0.1276,0.05961,81.81,14.72,18.03,108.2,315.3,9.05,29.88,0.1928,28.89,9.117,19.06,,17.74,0.2235,,,,5.55,2.444e-05,,,136.6,1941.0,0.04827,,0.8592
2022-02-27,85.63,360.1,0.7215,0.856,0.1229,0.05807,75.07,13.64,17.5,102.9,304.0,9.77,26.77,0.181,27.36,8.508,20.36,,17.23,0.2098,,,,5.206,2.342e-05,,,131.6,1810.0,0.04552,,0.7978
2022-02-28,99.68,395.6,0.7809,0.962,0.1335,0.06176,84.54,15.13,18.94,113.7,339.0,10.53,31.36,0.1975,30.49,9.759,21.7,,20.13,0.2303,,,,5.635,2.579e-05,,,145.8,1965.0,0.05209,,0.8681
2022-03-01,98.66,408.7,0.7839,0.963,0.134,0.06219,86.89,15.35,18.89,112.5,328.7,10.35,31.14,0.1989,30.34,11.808,20.96,,19.36,0.2273,,,,5.669,2.713e-05,,,143.3,1965.0,0.05291,,0.8565
2022-03-02,100.68,409.3,0.7687,0.939,0.133,0.06153,83.36,15.28,18.61,110.3,320.2,10.04,32.24,0.1934,29.52,11.085,20.74,,19.31,0.2228,,,,5.644,2.59e-05,,,137.7,1995.0,0.05296,,0.8199
2022-03-03,95.62,402.6,0.7515,0.903,0.1297,0.05995,78.5,14.89,18.02,111.7,315.3,9.55,34.04,0.1879,30.23,11.035,20.13,,19.97,0.2211,,,,5.99,2.506e-05,,,130.0,2039.0,0.05459,,0.7966
2022-03-04,88.32,374.2,0.7127,0.844,0.1226,0.05829,75.79,13.73,16.79,101.0,290.4,8.8,30.48,0.176,27.59,10.428,18.81,,17.61,0.2055,,,,5.487,2.358e-05,,,124.2,1796.0,0.04911,,0.7599
2022-03-05,89.63,384.7,0.754,0.864,0.125,0.06037,76.68,14.03,17.33,104.9,294.2,9.01,30.87,0.1803,27.84,10.505,19.09,,17.67,0.2102,,,,5.667,2.462e-05,,,124.6,1839.0,0.05039,,0.7735
2022-03-06,84.57,375.0,0.7251,0.823,0.1207,0.05889,72.51,13.32,16.99,101.1,282.0,8.48,28.15,0.1728,26.55,10.094,18.45,,16.62,0.2027,,,,5.377,2.352e-05,,,116.7,1719.0,0.04768,,0.7465
2022-03-07,81.66,380.6,0.7197,0.793,0.1167,0.05859,71.69,12.68,16.41,98.4,273.9,8.3,28.29,0.1697,26.13,9.658,17.82,,16.42,0.206,,,,5.262,2.28e-05,,,116.8,1739.0,0.04596,,0.7279
2022-03-08,82.32,381.4,0.7207,0.802,0.117,0.06054,73.0,13.08,16.97,100.7,284.7,8.81,27.87,0.1732,26.74,9.731,18.03,,16.86,0.205,,,,5.222,2.291e-05,,,121.6,1749.0,0.0466,,0.7399
2022-03-09,88.06,393.2,0.7658,0.849,0.1215,0.0608,77.63,14.01,17.86,106.9,307.2,9.21,30.05,0.1887,28.05,11.598,18.82,,17.46,0.2129,,,,5.342,2.385e-05,,,127.6,1902.0,0.04852,,0.7671
